Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,dBm,Separation
3/12/20, 15:46:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70C0,192,-20.992,1
3/12/20, 15:46:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8772,31.4,59, 0201041AFF4C0002150005000100001000800000805F9B013100038772BE,190,-21.94,1
3/12/20, 15:46:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x9B6D,28,69, 0201041AFF4C0002150005000100001000800000805F9B013100029B6DC0,192,-20.992,1
3/12/20, 15:46:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x9F6F,29.3,71, 0201041AFF4C0002150005000100001000800000805F9B013100069F6FC0,192,-20.992,1
3/12/20, 15:46:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70BF,191,-21.466,1
3/12/20, 15:46:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8572,31.4,58, 0201041AFF4C0002150005000100001000800000805F9B013100058572BC,188,-22.888,1
3/12/20, 15:46:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x9A6E,28.7,69, 0201041AFF4C0002150005000100001000800000805F9B013100049A6EC1,193,-20.518,1
3/12/20, 15:46:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70C0,192,-20.992,1
3/12/20, 15:46:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8672,31.4,59, 0201041AFF4C0002150005000100001000800000805F9B013100038672BF,191,-21.466,1
3/12/20, 15:46:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x9B6D,28,69, 0201041AFF4C0002150005000100001000800000805F9B013100029B6DB7,183,-25.258,1
3/12/20, 15:46:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x9E6F,29.3,71, 0201041AFF4C0002150005000100001000800000805F9B013100069E6FBE,190,-21.94,1
3/12/20, 15:46:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8672,31.4,59, 0201041AFF4C0002150005000100001000800000805F9B013100058672B8,184,-24.784,1
3/12/20, 15:46:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x9A6E,28.7,69, 0201041AFF4C0002150005000100001000800000805F9B013100049A6EB9,185,-24.31,1
3/12/20, 15:46:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70BF,191,-21.466,1
3/12/20, 15:46:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8572,31.4,58, 0201041AFF4C0002150005000100001000800000805F9B013100058572B7,183,-25.258,1
3/12/20, 15:46:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8672,31.4,59, 0201041AFF4C0002150005000100001000800000805F9B013100038672BF,191,-21.466,1
3/12/20, 15:46:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x9A6E,28.7,69, 0201041AFF4C0002150005000100001000800000805F9B013100029A6EB7,183,-25.258,1
3/12/20, 15:46:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x9E70,30,71, 0201041AFF4C0002150005000100001000800000805F9B013100069E70BE,190,-21.94,1
3/12/20, 15:46:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70C0,192,-20.992,1
3/12/20, 15:46:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x9A6E,28.7,69, 0201041AFF4C0002150005000100001000800000805F9B013100049A6EB8,184,-24.784,1
3/12/20, 15:46:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C70C0,192,-20.992,1
3/12/20, 15:46:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8572,31.4,58, 0201041AFF4C0002150005000100001000800000805F9B013100058572B9,185,-24.31,1
3/12/20, 15:46:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8672,31.4,59, 0201041AFF4C0002150005000100001000800000805F9B013100038672C3,195,-19.57,1
3/12/20, 15:46:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x9A6E,28.7,69, 0201041AFF4C0002150005000100001000800000805F9B013100029A6EBC,188,-22.888,1
